"year","crop","area","production","yield","prop_area"
1956,"Barley",3418,2815,0.82,0.0266384020076221
1956,"Cassava",247,1792,7.3,0.0019250103264724
1956,"Chickpea",9779,5418,0.55,0.0762132630873425
1956,"Cotton",8050,1684,0.21,0.0627381908020357
1956,"Dry beans",6599,1454,0.22,0.0514297293295197
1956,"Dry peas",919,576,0.63,0.00716228538472929
1956,"Groundnut",5443,4267,0.78,0.0424203692590659
1956,"Hemp",247,NA,NA,0.0019250103264724
1956,"Jute",772,778,1.01,0.0060166314657356
1956,"Lentils",495,208,0.42,0.00385781421701959
1956,"Linseed",1682,390,0.23,0.0131087747737918
1956,"Maize",3722,3057,0.82,0.0290076454863574
1956,"Mesta",297,268,0.9,0.00231468853021175
1956,"Millet",18593,6669,0.36,0.144905736842515
1956,"Potato",286,1725,6,0.00222895932538909
1956,"Rape and mustard",2554,1042,0.41,0.0199047626470061
1956,"Rice",32099,43104,1.34,0.250165613236589
1956,"Sesamum",2204,449,0.2,0.0171770152208306
1956,"Sorghum",16336,7365,0.45,0.127315662725721
1956,"Sugarcane",2046,68073,33.3,0.0159456320970143
1956,"Sweet potatoes",156,1110,7.1,0.00121579599566678
1956,"Wheat",12367,8760,0.71,0.0963830069128913
1957,"Barley",3531,2872,0.81,0.0271669718559096
1957,"Cassava",246,1787,7.3,0.0018926862295536
1957,"Chickpea",9820,6365,0.65,0.0755535722529121
1957,"Cotton",8092,1686,0.21,0.0622586055672673
1957,"Dry beans",5920,1249,0.21,0.0455475710526721
1957,"Dry peas",972,580,0.6,0.00747841876067521
1957,"Groundnut",6020,4507,0.75,0.0463169556988321
1957,"Hemp",276,63,0.44,0.0021235016234016
1957,"Jute",705,735,1.04,0.00542416175542801
1957,"Lentils",521,191,0.37,0.00400849400649361
1957,"Linseed",1266,253,0.2,0.00974040962038562
1957,"Maize",3974,3085,0.79,0.0305753458383984
1957,"Mesta",309,234,0.76,0.0023773985566344
1957,"Millet",18136,6969,0.38,0.139535599427578
1957,"Potato",318,2013,6.3,0.0024466431747888
1957,"Rape and mustard",2420,938,0.39,0.018619108437072
1957,"Rice",32151,37926,1.18,0.247364857586902
1957,"Sesamum",2420,360,0.15,0.018619108437072
1957,"Sorghum",17079,8378,0.49,0.131403203717667
1957,"Sugarcane",2057,69111,33.6,0.0158262421715112
1957,"Sweet potatoes",152,1146,7.6,0.0011694646621632
1957,"Wheat",13589,9436,0.7,0.104551679566683
1958,"Barley",3069,2292,0.75,0.0238381892607753
1958,"Cassava",237,1714,7.2,0.00184087678553397
1958,"Chickpea",9019,4890,0.54,0.0700542942140544
1958,"Cotton",8064,1666,0.21,0.0626364151837382
